Edit URL,Timestamp,itc_number,DOI of the article,Initials of the reviewer filling the form ,Medical Condition of Interest Name,Countries of first author affiliations,Countries of last author affiliations,"Positions of study investigators (for any authors of the article, any that applies)","At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company",Mentioned sources of funding,"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article",Mention of a systematic review to find the studies to compare treatments of interest,study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),Treatment name 1,Study 'number(s)' for treatment 1,Treatment name 2 ,Study 'number(s)' for treatment 2,Type of population-adjusted indirect comparisons performed,Anchored comparison?,Form of the indirect comparison,Definition of a single primary outcome for the indirect comparison,Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined),Primary outcome: variable type,Justification for selecting variables to be included in the adjustment model (in the main text),Inclusion of prognostic factors in the adjustment/matching model,Inclusion of treatment-effect modifiers in the adjustment/matching model,"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)",Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale),Sample size of the population of interest in the non IPD treatment arm ,"If anchored comparison, sample size of the population of interest in the non IPD treatment anchor arm",Initial sample size of the population of interest in the IPD treatment arm,"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC","If anchored comparison, initial sample size of the population of interest in the IPD anchor arm","If anchored comparison, effective sample size after reweighting for MAIC; or sample size used in the regression model for STC in the IPD anchor arm",Reporting of a weights' distribution evaluation (MAIC),Reporting of the list of the covariates adjusted for/matched on,Number of covariates adjusted for/matched on,Covariates adjusted for/matched on in the indirect comparison,Primary outcome: treatment effect contrast,Direction of the treatment effect contrast: IPD treatment is:,Primary outcome: unadjusted treatment effect,"p-value for the unadjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX-Y.YY])",Primary outcome: adjusted treatment effect,"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])",Notes,Original Timestamp
,01/08/2022 14:33:38,1,10.2217/imt-2021-0273,ASL,metastatic non-small-cell lung cancer,USA,USA,"Academic, Pharmaceutical Industry / Medical device company, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,NCT02142738,,,International,3,2 or more,2,Yes,Yes,NCT02220894,,,International,3,2 or more,3,No,Yes,NCT02477826,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,pembrolizumab,1;2,nivolumab + ipilimumab,3,MAIC,Yes,"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)","No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Overall Survival,Time-to-event,"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",No,Yes,No,No,793,NA,1428,993,NA,NA,Not mentioned,Yes,8,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)",HR,"Numerator if ratio, or left side if difference",0.98,NA,1.07,[0.82;1.39],"Checked 'yes' to ""Justification of the need of a population adjusted indirect comparison"", because they say that they chose effect modifiers among other criteria based on statistical assessment between studies. But not sure about that.
",15/07/2022 17:26:11
,18/07/2022 20:07:47,1,10.2217/cer-2021-0178,ASL,Parkinson's disease,USA,USA,"Pharmaceutical Industry / Medical device company, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,NCT02469090,,,International,3,2 or more,2,No,Yes,,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,apomorphine sublingual film,1,levodopa inhalation powder,2,MAIC,Yes,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",change in UPDRS Part III score from predose to postdose,"Continuous (count, mean, ...)","Statistical based (eg pvalue based, that is looking at statistical significant differences between treatment arms)",No discussion (in the main text) of the status of prognostic factors of the variables,Yes,No,No,114,112,44,NA,NA,NA,Not mentioned,Yes,4,"Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease)",Means difference,"Numerator if ratio, or left side if difference",0.57,0.818,0.15,0.953,"Very little discussion of the status of treatment effect modifiers in the main text, or of prognostic variables. Clearly includes variables that are neither one nor the other. ",18/07/2022 11:19:04
,19/07/2022 09:43:56,1,10.1080/10428194.2022.2047962,ASL,10.1080/10428194.2022.2047962,Germany,USA,"Academic, Pharmaceutical Industry / Medical device company",Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,NCT03158688,,,International,3,2 or more,2,No,Yes,NCT02136134,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,carfizomib+dexamethasone+daratumumab,1,Daratumumab+VELCADE+dexamethasone,2,MAIC,No,Simple (ie treatments effects extracted from two studies),Yes,Progression Free Survival,Time-to-event,A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion),Yes,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,No,No,251,NA,198,82,NA,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,10,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score (ECOG PS, Karnofsky, Lansky, OMS, Ranson, ...), Past treatments for the disease of interest, Comorbidities and medical history (beside pathology/disease of interest in the comparison), Other(s)",HR,"Numerator if ratio, or left side if difference",0.54,0.41;0.70,0.64,0.46;0.90,"No mention of treatment effect modifiers
One primary outcome, evaluated at different times (6,12,18 months), but so only one HR reported for the whole duration of the followup",18/07/2022 20:07:47
,19/07/2022 10:24:34,x,10.1177/17588359221075495,ASL, resected esophageal or gastroesophageal junction cancer,Netherlands,Netherlands,Academic,Not mentioned,Pharmaceutical Industry,Yes,No,1,Yes,Yes,NCT02743494,,,International,3,2 or more,2,No,No,,,Netherlands Cancer Registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Investigators were willing to test the results of RCT against real-world data, thus they did not do a systematic review
Different implementation of matching adjusted indirect comparison: resampling approach, were random sample with pre set matching variables matching distribution are drawn from an original distribution, without replacement, and each one of the drawn samples will have a distribution identical to the index study for the matched covariates. Then contrast effects are estimated on each of the drawn samples and a pooled average of these contrasts effets is finally used as a final treatment effect estimate. So properties of this approach in terms of treatment effect estimate is unknown.
Moreover, no comparison of treatment estimates between the clinical trial population and the ""matched"" observational population, but just description of the treatment effect in the matched real world population, and description of the risks factors associated with survival. 
Thus article not adapted for the systematic review, although may be worth mentioning that there are different understandings of ""MAIC"".",19/07/2022 09:43:56
,19/07/2022 18:29:09,1,10.1080/03007995.2022.2030112,ASL,uncontrolled hypertension,Germany,Germany,Pharmaceutical Industry / Medical device company,Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,,2019-000751-13,,Poland,3,2 or more,2,No,Yes,NCT00558428,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,amlodipine + bisoprolol,1,amlodipine,2,STC,Yes,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",change in systolic blood pressure at 8 week,"Continuous (count, mean, ...)","Statistical based (eg pvalue based, that is looking at statistical significant differences between treatment arms), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,261,255,178,178,179,179,,Yes,7,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Comorbidities and medical history (beside pathology/disease of interest in the comparison), Other(s)",Means difference,"Numerator if ratio, or left side if difference",-0.3,NA,-1.6,-5.3;2.2,"Results of the RCT with individual data not published yet: 2019-000751-13
Explicitely mention that the target population analysis is the one from the other study
Explicitely mention that only effect modifiers and prognostic variables have been integrated 
Explicitely distinguish between effect modifiers and prognostic variables
Doesn't describe CI for unadjusted estimate, although it is calculable from the data",19/07/2022 10:24:34
,28/07/2022 22:48:30,0,10.1007/s13555-021-00646-1,ASL,mild-to-moderate atopic dermatitis,UK,Denmark,"Academic, Pharmaceutical Industry / Medical device company",Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,NCT02118766,,,USA,3,2 or more,2,Yes,Yes,NCT02118792,,,USA,3,2 or more,3,No,Yes,NA,NA,"Schachner et al., 2005",USA,,2 or more,4,No,Yes,,,"Kempers et al., 2004",USA,,2 or more,5,No,Yes,NCT00667160,,,USA,4,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
IPD : crisaborole : Paller 2016 https://linkinghub.elsevier.com/retrieve/pii/S0190962216303309
	1 NCT02118766  
	2 NCT02118792  

non IPD: 
	Tacrolimus 0.1%
		6 Abramovits et al., 2008 22 
		NCT00666302

	Pimecrolimus 1%

		4 Kempers et al., 2004 20 
			No NCT US US 2 arms
		5 Paller et al., 2005 21 
			NCT00667160

		6 Abramovits et al., 2008 22 
			NCT00666302

		7 Eichenfeld et al., 2002 23 
			No NCT https://api.istex.fr/ark:/67375/6H6-W5Z4NWPL-D/fulltext.pdf?sid=clickandread

	tacrolimus 0.03%
		3 Schachner et al., 2005 15 
			no NCT US 2 arms

		4 Kempers et al., 2004 20 
			No NCT US US 2 arms

		5 Paller et al., 2005 21 
			NCT00667160
		

		8 Chapman et al., 2005 24 
			no NCT US 2 arms

		9 Levy et al., 2005 29
			NCT00480896
",19/07/2022 18:29:09
,01/08/2022 14:24:13,1,10.1007/s13555-021-00646-1,ASL,,,,,,,,,6,Yes,Yes,NCT00666302,,,International,4,2 or more,7,Yes,Yes,,,Eichenfeld et al.,,,2 or more,8,Yes,Yes,,,"Chapman et al., 2005",USA,,2 or more,9,No,Yes,NCT00480896,,,International,3,2 or more,,,,,,,,,,crisaborole,1;2,pimecrolimus 1%,4;5;6;7,MAIC,No,"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)",Yes,Investigator’s Static Global Assessment improvement score of 0–1,Binary (eg rates),"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,Yes,Yes,NA,NA,1021,627,NA,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,7,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Race/ethnicity, Past treatments for the disease of interest",OR,"Numerator if ratio, or left side if difference",2.04,[1.47;2.82],2.03,[1.45;2.85],"crisaborole vs pimecrolimus 1%
Explicitely mention that one of their comparison (tacrolimus 0.1%) is not valid because of to small ESS
Weights distribution reported in the main article 
Acknowledgments of the limits of the methodology
Matches on mean and SD age, so ""details of the methodology"" reported as yes
age counted as two different

",19/07/2022 20:44:50
,01/08/2022 14:26:09,2,10.1007/s13555-021-00646-1,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crisaborole,1;2,tacrolimus 0.03%,3;4;5;8;9,MAIC,No,"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)",Yes,Investigator’s Static Global Assessment improvement score of 0–1,Binary (eg rates),"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,Yes,No,NA,NA,1021,311,NA,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,7,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Race/ethnicity, Past treatments for the disease of interest",OR,"Numerator if ratio, or left side if difference",1.31,[0.80;1.83],1.03,[0.58;1.82],crisaborole vs tacrolimus 0.03%,19/07/2022 21:50:06
,01/08/2022 14:25:45,3,10.1007/s13555-021-00646-1,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crisaborole,1;2,tacrolimus 0.1%,6,MAIC,No,"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)",Yes,Investigator’s Static Global Assessment improvement score of 0–1,Binary (eg rates),"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,Yes,No,NA,NA,1021,94,NA,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,7,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Race/ethnicity, Past treatments for the disease of interest",OR,"Numerator if ratio, or left side if difference",1.21,[0.80;1.83],1.03,[0.58;1.82],"crisaborole vs tacrolimus 0.1%
Authors say that this MAIC is not valid because sample size shrinking during matching process",19/07/2022 22:14:22
,01/08/2022 14:20:21,1,10.2217/cer-2021-0216,ASL,spinal muscular atrophy,Switzerland,UK,"Pharmaceutical Industry / Medical device company, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,NCT02913482,,,International,"2, 3",1,2,Yes,Yes,NCT02908685,,,International,"2, 3",2 or more,3,No,Yes,NCT02193074,,,International,3,2 or more,4,No,Yes,NCT02292537,,,International,3,2 or more,5,No,Yes,NCT03306277,,,USA,3,1,Risdiplam,1,Nusinersen,3,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Event-Free Survival,Time-to-event,"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,121,NA,58,36.5,NA,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,3,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease)",HR,"Numerator if ratio, or left side if difference",0.24,[0.09;0.46],0.2,[0.06;0.42],"Discuss the scale of the outcome **in the supplemental materials**
Exhaustive presentation of the methodology in supplemental materials
Separation of treatment effect modifiers and prognostic factors",19/07/2022 22:18:10
,20/07/2022 10:34:01,2,10.2217/cer-2021-0216,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risdiplam,1,Onasemnogene abeparvovec,5,STC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Event-Free Survival,Time-to-event,"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,No,No,No,22,NA,58,58,NA,NA,,Yes,2,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease)",HR,"Numerator if ratio, or left side if difference",1.532,0.721;2.665,0.936,0.033;4.064,,20/07/2022 10:17:11
,20/07/2022 10:48:26,3,10.2217/cer-2021-0216,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risdiplam,2,Nusinersen,4,MAIC,Yes,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",RULM change from baseline,"Continuous (count, mean, ...)","A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,126,126,43,28.3,25,8.8,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,3,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease)",Means difference,"Numerator if ratio, or left side if difference",-0.6,-2.24;1.22,-0.49,-3.33;2.53,"Mentions that the matching was not successful, so limited interpreation for the results of this MAIC
",20/07/2022 10:34:01
,20/07/2022 14:58:50,1,10.1016/j.ejcsup.2021.06.002,ASL,advanced unresctable gastroenteropancreatic neuroendocrine tumor ,UK,Germany,"Academic, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,No,1,Yes,Yes,,,Erasmus study,Netherlands,,1,2,No,Yes,NCT01524783,,,International,3,2 or more,3,No,Yes,NCT00510068,,,International,3,2 or more,4,No,Yes,NCT00428597,,,International,3,2 or more,,,,,,,,,,[177Lu]Lu-DOTA-TATE,1,Everolimus,2,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Progression-Free Survival,Time-to-event,"Statistical based (eg pvalue based, that is looking at statistical significant differences between treatment arms)",Yes,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,No,No,118,NA,111,105,NA,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,1,"Performance score (ECOG PS, Karnofsky, Lansky, OMS, Ranson, ...)",HR,"Numerator if ratio, or left side if difference",NA,NA,0.38,0.25;0.58,"Inclusion almost only based on statistical significance, even though at some point they mention that they were chosen based on the clinical expert opinion also
acknowledge residual confounding
test safety endpoints too",20/07/2022 10:48:26
,20/07/2022 15:01:58,2,10.1016/j.ejcsup.2021.06.002,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[177Lu]Lu-DOTA-TATE,1,Everolimus,3,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Progression-Free Survival,Time-to-event,"Statistical based (eg pvalue based, that is looking at statistical significant differences between treatment arms)",Yes,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,No,No,57,NA,111,95,NA,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,1,"Performance score (ECOG PS, Karnofsky, Lansky, OMS, Ranson, ...)",HR,"Numerator if ratio, or left side if difference",NA,NA,0.35,0.24;0.59,,20/07/2022 14:58:50
,20/07/2022 15:47:05,3,10.1016/j.ejcsup.2021.06.002,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[177Lu]Lu-DOTA-TATE,1,Sunitinib,4,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Progression-Free Survival,Time-to-event,"Statistical based (eg pvalue based, that is looking at statistical significant differences between treatment arms)",Yes,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,No,No,86,NA,62,48,NA,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,4,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score (ECOG PS, Karnofsky, Lansky, OMS, Ranson, ...)",HR,"Numerator if ratio, or left side if difference",NA,NA,0.36,[0.18;0.70],,20/07/2022 15:01:58
,20/07/2022 15:50:44,4,10.1016/j.ejcsup.2021.06.002,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[177Lu]Lu-DOTA-TATE,1,Best Supportive Care,4,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Progression-Free Survival,Time-to-event,"Statistical based (eg pvalue based, that is looking at statistical significant differences between treatment arms)",Yes,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,No,No,85,NA,62,35,NA,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,4,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease)",HR,"Numerator if ratio, or left side if difference",NA,NA,0.13,[0.08;0.22],,20/07/2022 15:47:05
,20/07/2022 15:53:35,5,10.1016/j.ejcsup.2021.06.002,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[177Lu]Lu-DOTA-TATE,1,everolimus,3,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Progression-Free Survival,Time-to-event,"Statistical based (eg pvalue based, that is looking at statistical significant differences between treatment arms)",Yes,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,No,No,207,NA,62,22,NA,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,4,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease)",HR,"Numerator if ratio, or left side if difference",NA,NA,0.46,[0.30;0.71],,20/07/2022 15:50:44
,20/07/2022 15:55:57,6,10.1016/j.ejcsup.2021.06.002,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[177Lu]Lu-DOTA-TATE,1,Best Supportive Care,3,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Progression-Free Survival,Time-to-event,"Statistical based (eg pvalue based, that is looking at statistical significant differences between treatment arms)",Yes,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,No,No,203,NA,62,18,NA,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,4,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease)",HR,"Numerator if ratio, or left side if difference",NA,NA,0.21,[0.13;0.32],,20/07/2022 15:53:35
,28/07/2022 16:26:15,1,10.1210/clinem/dgab905,ASL,Type 2 diabetes,USA,USA,"Academic, Pharmaceutical Industry / Medical device company, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,No,1,Yes,Yes,NCT03989232,,,International,3,2 or more,2,Yes,Yes,NCT02648204,,,International,3,2 or more,3,Yes,Yes,NCT03495102,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,Semaglutide 2.0 mg,1,Dulaglutide 3.0,3,Multilevel network meta-regression,Yes,Larger network (ie involving more than 2 studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Change in baseline HbA1c,"Continuous (count, mean, ...)",Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose),No,Yes,,No,616,612,480,480,481,481,,Yes,3,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)",Means difference,"Numerator if ratio, or left side if difference",-0.47,[-0.69;-0.23],-0.44,[-0.68;-0.19],"Multi-level meta regression 
Talk about the possibility to adjust for different populations, but how is that possible without IPD ? Should look into the methodology of ML-NMR
Not clear how to decide the sample size of the anchor arms",20/07/2022 15:55:57
,28/07/2022 16:32:06,2,10.1210/clinem/dgab905,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semaglutide 2.0mg,1,Dulaglutide 4.5 mg,3,Multilevel network meta-regression,Yes,Larger network (ie involving more than 2 studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Change in baseline HbA1c,"Continuous (count, mean, ...)",Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose),No,Yes,,No,614,612,480,480,481,481,,Yes,3,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Other(s)",Means difference,"Numerator if ratio, or left side if difference",-0.31,[-0.53;-0.08],-0.28,[-0.52;-0.03],,21/07/2022 08:43:16
,21/07/2022 16:58:12,1,10.2217/cer-2021-0221,ASL,HR+/HER2- advanced breast cancer,USA,Canada,"Pharmaceutical Industry / Medical device company, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,No,1,Yes,Yes,NCT01942135,,,International,3,2 or more,2,No,Yes,NCT02107703,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palbociclib,1,abemaciclib,2,MAIC,Yes,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",EORTC QLQ-C30 Global Quality of Life,"Continuous (count, mean, ...)","Statistical based (eg pvalue based, that is looking at statistical significant differences between treatment arms), A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",No,Yes,No,No,NA,NA,180,NA,90,NA,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,11,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Race/ethnicity, Performance score (ECOG PS, Karnofsky, Lansky, OMS, Ranson, ...), Past treatments for the disease of interest, Other(s)",Means difference,"Numerator if ratio, or left side if difference",4.6,0.016,6.95,0.004,,21/07/2022 08:47:17
